Line,EPD,pair,reliability,used.model,log.x,log.y,nboot.gc,mu.model,lambda.model,A.model,integral.model,stdmu.model,stdlambda.model,stdA.model,ci90.mu.model.lo,ci90.mu.model.up,ci90.lambda.model.lo,ci90.lambda.model.up,ci90.A.model.lo,ci90.A.model.up,ci95.mu.model.lo,ci95.mu.model.up,ci95.lambda.model.lo,ci95.lambda.model.up,ci95.A.model.lo,ci95.A.model.up,mu.spline,lambda.spline,A.spline,integral.spline,mu.bt,lambda.bt,A.bt,integral.bt,stdmu.bt,stdlambda.bt,stdA.bt,stdintegral.bt,ci90.mu.bt.lo,ci90.mu.bt.up,ci90.lambda.bt.lo,ci90.lambda.bt.up,ci90.A.bt.lo,ci90.A.bt.up,ci90.integral.bt.lo,ci90.integral.bt.up,ci95.mu.bt.lo,ci95.mu.bt.up,ci95.lambda.bt.lo,ci95.lambda.bt.up,ci95.A.bt.lo,ci95.A.bt.up,ci95.integral.bt.lo,ci95.integral.bt.up
HA2.152,2,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.01483663,23.96755607,0.417097765,24.5218518,7.49E-05,0.091345554,0.000428676,0.014713376,0.014959883,23.81729263,24.11781951,0.416392593,0.417802936,0.014689774,0.014983485,23.78851878,24.14659336,0.41625756,0.417937969,0.017629867,25.79387217,0.418296421,24.5585623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,2,D03/Mp_wt,TRUE,logistic,FALSE,FALSE,0,0.009021822,21.09553181,0.312590957,18.08613451,5.07E-05,0.107670434,0.000436583,0.008938463,0.009105182,20.91841395,21.27264968,0.311872778,0.313309136,0.0089225,0.009121144,20.88449776,21.30656586,0.311735254,0.31344666,0.009264132,21.63398263,0.313888161,18.10279096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,2,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.014710793,24.10466499,0.424137073,25.33472208,0.000125446,0.169648477,0.000627278,0.014504435,0.014917151,23.82559325,24.38373674,0.423105201,0.425168945,0.01446492,0.014956667,23.77215398,24.43717601,0.422907608,0.425366538,0.016340802,25.56683968,0.429654396,25.3794517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,2,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.015171755,25.64490517,0.405353599,23.66886703,0.000108462,0.12684037,0.000530568,0.014993335,0.015350174,25.43625276,25.85355758,0.404480814,0.406226383,0.01495917,0.015384339,25.39629805,25.8935123,0.404313685,0.406393512,0.015846561,26.24231807,0.408947554,23.68826785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,8,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.025106228,20.88818733,0.428866204,18.97838636,0.00032562,0.164650744,0.000643322,0.024570583,0.025641873,20.61733686,21.15903781,0.427807939,0.429924468,0.024468013,0.025744443,20.56547187,21.21090279,0.427605293,0.430127114,0.022030368,19.24183792,0.432791182,19.0183051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,8,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.022328403,20.92333959,0.412824279,17.68739341,0.000223503,0.130679477,0.000612448,0.02196074,0.022696066,20.70837185,21.13830733,0.411816802,0.413831755,0.021890336,0.02276647,20.66720781,21.17947137,0.411623881,0.414024676,0.020496358,19.81649183,0.415074837,17.69227388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,8,D01/Mp_wt,FALSE,richards,FALSE,FALSE,0,0.017410868,25.17040652,0.429930735,15.58788187,0.000460422,0.462699014,0.002473408,0.016653473,0.018168263,24.40926665,25.9315464,0.425861979,0.433999491,0.01650844,0.018313296,24.26351646,26.07729659,0.425082855,0.434778615,0.023106733,28.9498265,0.439920277,15.609213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,8,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.022844117,21.24385406,0.39701968,16.82011588,0.000215623,0.111219801,0.000601674,0.022489418,0.023198816,21.06089748,21.42681063,0.396029926,0.398009434,0.022421497,0.023266737,21.02586325,21.46184487,0.395840399,0.398198961,0.020940708,20.50765841,0.396563634,16.75322981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,8,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.022437007,36.2471423,0.41134135,11.42178027,0.000261541,0.149761016,0.001040029,0.022006772,0.022867242,36.00078543,36.49349917,0.409630503,0.413052198,0.021924386,0.022949627,35.95361071,36.54067389,0.409302894,0.413379807,0.021183745,35.54149077,0.409816946,11.52429772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,8,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.023268366,36.26139994,0.400317304,11.46551476,0.000473094,0.252523889,0.001475115,0.022490126,0.024046607,35.84599814,36.67680174,0.39789074,0.402743868,0.022341101,0.024195631,35.76645312,36.75634676,0.397426079,0.403208529,0.020404772,34.62593586,0.399252744,11.54349436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
